epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.15938542783260345,9.999999747378752e-05,2.959272861480713,0.01741553470492363,2.662886381149292
1,0.171875,9.999999747378752e-05,3.8859457969665527,0.01741553470492363,2.6354198455810547
2,0.16733917593955994,9.999999747378752e-05,2.680840492248535,0.09334726631641388,2.215587854385376
3,0.140625,9.999999747378752e-05,2.3991317749023438,0.09299895167350769,2.2123312950134277
4,0.16726158559322357,9.999999747378752e-05,2.5023040771484375,0.15256008505821228,2.005695343017578
5,0.21875,9.999999747378752e-05,2.6194629669189453,0.15360501408576965,2.0051722526550293
6,0.16749437153339386,9.999999747378752e-05,2.386280059814453,0.19818878173828125,1.9119981527328491
7,0.15625,9.999999747378752e-05,2.6915948390960693,0.19714385271072388,1.9128332138061523
8,0.16927911341190338,9.999999747378752e-05,2.311269998550415,0.22675025463104248,1.8819105625152588
9,0.1875,9.999999747378752e-05,2.14548921585083,0.22675025463104248,1.8814207315444946
10,0.17661209404468536,9.999999747378752e-05,2.2275187969207764,0.23510971665382385,1.8645156621932983
11,0.1875,9.999999747378752e-05,1.9283219575881958,0.2337164729833603,1.8630321025848389
12,0.1814231425523758,9.999999747378752e-05,2.175569534301758,0.2257053256034851,1.8456125259399414
13,0.1875,9.999999747378752e-05,2.813082695007324,0.22466039657592773,1.8460930585861206
14,0.18817412853240967,9.999999747378752e-05,2.128201961517334,0.2257053256034851,1.8502161502838135
15,0.171875,9.999999747378752e-05,1.8426417112350464,0.2253570258617401,1.8490896224975586
16,0.19531311094760895,4.999999873689376e-05,2.07969331741333,0.23580634593963623,1.8291000127792358
17,0.203125,4.999999873689376e-05,1.9407870769500732,0.23650296032428741,1.828891634941101
18,0.19414913654327393,4.999999873689376e-05,2.0537517070770264,0.23998606204986572,1.8233016729354858
19,0.25,4.999999873689376e-05,1.6667847633361816,0.2403343766927719,1.8225051164627075
20,0.19915418326854706,4.999999873689376e-05,2.0235378742218018,0.25670498609542847,1.801245093345642
21,0.15625,4.999999873689376e-05,2.214108467102051,0.2560083568096161,1.8009893894195557
22,0.20648716390132904,4.999999873689376e-05,2.0153110027313232,0.2218739092350006,1.8458430767059326
23,0.109375,4.999999873689376e-05,2.0922961235046387,0.22291883826255798,1.8451111316680908
24,0.20986264944076538,4.999999873689376e-05,1.9784165620803833,0.2622779607772827,1.7859491109848022
25,0.15625,4.999999873689376e-05,2.1823856830596924,0.2626262605190277,1.7856693267822266
26,0.21622565388679504,4.999999873689376e-05,1.957951545715332,0.27969348430633545,1.7677143812179565
27,0.21875,4.999999873689376e-05,1.5891368389129639,0.27899685502052307,1.7682162523269653
28,0.22771009802818298,4.999999873689376e-05,1.9260904788970947,0.30233368277549744,1.7348486185073853
29,0.21875,4.999999873689376e-05,1.9239928722381592,0.30128875374794006,1.7352896928787231
30,0.22980523109436035,4.999999873689376e-05,1.9279621839523315,0.3033786118030548,1.743098258972168
31,0.203125,4.999999873689376e-05,1.7272281646728516,0.3033786118030548,1.743750810623169
32,0.23384030163288116,4.999999873689376e-05,1.9125365018844604,0.3079066574573517,1.7302031517028809
33,0.25,4.999999873689376e-05,1.9578205347061157,0.30895158648490906,1.7293802499771118
34,0.2481570541858673,4.999999873689376e-05,1.8653377294540405,0.31347963213920593,1.7259072065353394
35,0.203125,4.999999873689376e-05,2.049062728881836,0.31278300285339355,1.725687861442566
36,0.258089542388916,4.999999873689376e-05,1.8601908683776855,0.3120863735675812,1.7290087938308716
37,0.234375,4.999999873689376e-05,1.6665778160095215,0.3120863735675812,1.728622317314148
38,0.2648405432701111,4.999999873689376e-05,1.8381446599960327,0.3329850137233734,1.704361915588379
39,0.34375,4.999999873689376e-05,1.4594892263412476,0.3326367139816284,1.7056951522827148
40,0.2747730314731598,4.999999873689376e-05,1.8069088459014893,0.33925461769104004,1.6706535816192627
41,0.171875,4.999999873689376e-05,1.704651117324829,0.33925461769104004,1.6705870628356934
42,0.278032124042511,4.999999873689376e-05,1.7917060852050781,0.3483106791973114,1.664079189300537
43,0.375,4.999999873689376e-05,2.0058493614196777,0.3479623794555664,1.6641640663146973
44,0.2954139709472656,4.999999873689376e-05,1.775320291519165,0.3361198306083679,1.6704471111297607
45,0.28125,4.999999873689376e-05,2.9194648265838623,0.33507490158081055,1.668915033340454
46,0.29781949520111084,4.999999873689376e-05,1.7624672651290894,0.35701847076416016,1.6422290802001953
47,0.3125,4.999999873689376e-05,1.6010963916778564,0.3587599992752075,1.639838695526123
48,0.3060448467731476,4.999999873689376e-05,1.7443060874938965,0.3486590087413788,1.6708426475524902
49,0.3125,4.999999873689376e-05,1.7028388977050781,0.35074886679649353,1.6697312593460083
